scientific_name,common_name,functional_group,commercial_group,tonnes
Acanthurus olivaceus,Orangespot surgeonfish,Small reef assoc. fish (<30 cm),Perch-likes,70
Chaetodon lunula,Raccoon butterflyfish,Small reef assoc. fish (<30 cm),Perch-likes,0
Chaetodon unimaculatus,Teardrop butterflyfish,Small reef assoc. fish (<30 cm),Perch-likes,1
Zebrasoma flavescens,Yellow tang,Small reef assoc. fish (<30 cm),Perch-likes,68
Salmo salar,Atlantic salmon,Large benthopelagics (>=90 cm),"Salmon, smelts, etc",139
Salmonidae,Salmonids,Large benthopelagics (>=90 cm),"Salmon, smelts, etc",363663
Oncorhynchus,"Salmons, trouts",Large benthopelagics (>=90 cm),"Salmon, smelts, etc",3944996
Salmo trutta,Sea trout,Large pelagics (>=90 cm),"Salmon, smelts, etc",34
Argentina silus,Greater argentine,Medium bathydemersals (30 - 89 cm),"Salmon, smelts, etc",230
Argentina,Argentines,Medium pelagics (30 - 89 cm),"Salmon, smelts, etc",357
Argentina sphyraena,European argentine,Medium pelagics (30 - 89 cm),"Salmon, smelts, etc",4
Osmerus eperlanus,European smelt,Medium pelagics (30 - 89 cm),"Salmon, smelts, etc",1284
Bathylagidae,Deepsea smelts,Small bathypelagics (<30 cm),"Salmon, smelts, etc",102648
Osmeridae,Smelts,Small pelagics (<30 cm),"Salmon, smelts, etc",1437304
Myoxocephalus,Grubbies and sculpins,Large reef assoc. fish (>=90 cm),Scorpionfishes,1
Sebastes,Redfishes,Large reef assoc. fish (>=90 cm),Scorpionfishes,119667
Scorpaena,Scorpionfishes,Large reef assoc. fish (>=90 cm),Scorpionfishes,212
Scorpaenidae,"Scorpionfishes, rockfishes",Large reef assoc. fish (>=90 cm),Scorpionfishes,123836
Peristediidae,"Armored searobins, gurnards",Medium bathydemersals (30 - 89 cm),Scorpionfishes,127662
Helicolenus dactylopterus,Blackbelly rosefish,Medium bathydemersals (30 - 89 cm),Scorpionfishes,20033
Trigla lyra,Piper gurnard,Medium bathydemersals (30 - 89 cm),Scorpionfishes,1
Trigla,Piper gurnards,Medium bathydemersals (30 - 89 cm),Scorpionfishes,591
Cyclopterus lumpus,Lumpfish,Medium benthopelagics (30 - 89 cm),Scorpionfishes,0
Platycephalus indicus,Bartail flathead,Medium demersals (30 - 89 cm),Scorpionfishes,270152
Chelidonichthys kumu,Bluefin gurnard,Medium demersals (30 - 89 cm),Scorpionfishes,15108
Chelidonichthys capensis,Cape gurnard,Medium demersals (30 - 89 cm),Scorpionfishes,8668
Platycephalidae,Flatheads,Medium demersals (30 - 89 cm),Scorpionfishes,2629378
Hexagrammidae,Greenlings,Medium demersals (30 - 89 cm),Scorpionfishes,27000
Eutrigla gurnardus,Grey gurnard,Medium demersals (30 - 89 cm),Scorpionfishes,31827
Pterygotrigla polyommata,Latchet,Medium demersals (30 - 89 cm),Scorpionfishes,2385
Prionotus stephanophrys,Lumptail searobin,Medium demersals (30 - 89 cm),Scorpionfishes,113204
Pleurogrammus azonus,Okhostk atka mackerel,Medium demersals (30 - 89 cm),Scorpionfishes,2871899
Chelidonichthys cuculus,Red gurnard,Medium demersals (30 - 89 cm),Scorpionfishes,45377
Scorpaena scrofa,Red scorpionfish,Medium demersals (30 - 89 cm),Scorpionfishes,5
Sebastidae,"Rockfishes, rockcods, thornyheads",Medium demersals (30 - 89 cm),Scorpionfishes,51715
Scorpaeniformes,"Scorpionfishes, flatheads",Medium demersals (30 - 89 cm),Scorpionfishes,63069
Triglidae,"Searobins, gurnards",Medium demersals (30 - 89 cm),Scorpionfishes,268559
Synanceiidae,Stonefishes,Medium demersals (30 - 89 cm),Scorpionfishes,153
Trigloporus lastoviza,Streaked gurnard,Medium demersals (30 - 89 cm),Scorpionfishes,472
Chelidonichthys lucerna,Tub gurnard,Medium demersals (30 - 89 cm),Scorpionfishes,21080
Pontinus macrocephalus,Largeheaded scorpionfish,Medium demersals (30 - 89 cm),Scorpionfishes,40
Lepidotrigla cavillone,Largescaled gurnard,Small demersals (<30 cm),Scorpionfishes,1396
Normanichthys crockeri,Mote sculpin,Small demersals (<30 cm),Scorpionfishes,1837969
Scorpaena russula,Reddish scorpionfish,Small demersals (<30 cm),Scorpionfishes,711
Grammoplites suppositus,Spotfin flathead,Small demersals (<30 cm),Scorpionfishes,32760
Prionotus rubio,Blackwing searobin,Small demersals (<30 cm),Scorpionfishes,0
Scorpaenopsis diabolus,False stonefish,Small reef assoc. fish (<30 cm),Scorpionfishes,2
Batoidea,"Batoids, skates, rays, sawfishes",Large rays (>=90 cm),Sharks & rays,1205745
Raja brachyura,Blonde ray,Large rays (>=90 cm),Sharks & rays,1080
Dipturus batis,Blue skate,Large rays (>=90 cm),Sharks & rays,705
Chimaeriformes,Chimaeras,Large rays (>=90 cm),Sharks & rays,6271
Myliobatis aquila,Common eagleray,Large rays (>=90 cm),Sharks & rays,56
Dasyatis pastinaca,Common stingray,Large rays (>=90 cm),Sharks & rays,76
Myliobatidae,Eagle/manta rays,Large rays (>=90 cm),Sharks & rays,413801
Callorhinchus milii,Ghost shark,Large rays (>=90 cm),Sharks & rays,1343
Rhynchobatus djiddensis,Giant guitarfish,Large rays (>=90 cm),Sharks & rays,86260
Manta birostris,Giant manta,Large rays (>=90 cm),Sharks & rays,1169
Rhinobatos,Guitarfishes,Large rays (>=90 cm),Sharks & rays,48798
Rhinobatidae,"Guitarfishes, fanrays",Large rays (>=90 cm),Sharks & rays,24233
Dasyatis guttata,Longnose stingray,Large rays (>=90 cm),Sharks & rays,365
Dipturus oxyrinchus,Longnosed skate,Large rays (>=90 cm),Sharks & rays,227
Dasyatis longa,Longtail stingray,Large rays (>=90 cm),Sharks & rays,7835
Dipturus nidarosiensis,Norwegian skate,Large rays (>=90 cm),Sharks & rays,1
Chimaera monstrosa,Rabbit fish,Large rays (>=90 cm),Sharks & rays,4
Dasyatis,Rough whip stingrays,Large rays (>=90 cm),Sharks & rays,36908
Leucoraja circularis,Sandy ray,Large rays (>=90 cm),Sharks & rays,1647
Pristidae,Sawfishes,Large rays (>=90 cm),Sharks & rays,1791
Leucoraja fullonica,Shagreen ray,Large rays (>=90 cm),Sharks & rays,728
Rajiformes,Skates and rays,Large rays (>=90 cm),Sharks & rays,172423
Aetobatus narinari,Spotted eagle ray,Large rays (>=90 cm),Sharks & rays,38164
Rajidae,Stingrays,Large rays (>=90 cm),Sharks & rays,164937
Rhinochimaera atlantica,Straightnose rabbitfish,Large rays (>=90 cm),Sharks & rays,0
Raja clavata,Thornback ray,Large rays (>=90 cm),Sharks & rays,10404
Dasyatis akajei,Whip stingray,Large rays (>=90 cm),Sharks & rays,376
Himantura,Whiprays,Large rays (>=90 cm),Sharks & rays,521162
Dasyatidae,Whiptail stingrays,Large rays (>=90 cm),Sharks & rays,136145
Rostroraja alba,White skate,Large rays (>=90 cm),Sharks & rays,71
Squatinidae,Angel sharks,Large sharks (>=90 cm),Sharks & rays,175
Squatina squatina,Angelshark,Large sharks (>=90 cm),Sharks & rays,1
Oxynotus centrina,Angular roughshark,Large sharks (>=90 cm),Sharks & rays,0
Rhizoprionodon terraenovae,Atlantic sharpnose shark,Large sharks (>=90 cm),Sharks & rays,16265
Cetorhinus maximus,Basking shark,Large sharks (>=90 cm),Sharks & rays,2
Alopias superciliosus,Bigeye thresher,Large sharks (>=90 cm),Sharks & rays,27962
Deania calcea,Birdbeak dogfish,Large sharks (>=90 cm),Sharks & rays,1888
Carcharhinus amblyrhynchos,Blacktail reef shark,Large sharks (>=90 cm),Sharks & rays,40266
Carcharhinus melanopterus,Blacktip reef shark,Large sharks (>=90 cm),Sharks & rays,302771
Carcharhinus limbatus,Blacktip shark,Large sharks (>=90 cm),Sharks & rays,179128
Prionace glauca,Blue shark,Large sharks (>=90 cm),Sharks & rays,872527
Hexanchus griseus,Bluntnose sixgill shark,Large sharks (>=90 cm),Sharks & rays,760
Sphyrna tiburo,Bonnethead,Large sharks (>=90 cm),Sharks & rays,5523
Echinorhinus brucus,Bramble shark,Large sharks (>=90 cm),Sharks & rays,0
Squaliformes,"Bramble, sleeper, dogfish sharks",Large sharks (>=90 cm),Sharks & rays,44595
Notorynchus cepedianus,Broadnose sevengill shark,Large sharks (>=90 cm),Sharks & rays,748
Carcharhinus leucas,Bull shark,Large sharks (>=90 cm),Sharks & rays,4320
Rhizoprionodon porosus,Caribbean sharpnose shark,Large sharks (>=90 cm),Sharks & rays,3332
Scyliorhinus,Catsharks,Large sharks (>=90 cm),Sharks & rays,2385
Carcharhinus brachyurus,Copper shark,Large sharks (>=90 cm),Sharks & rays,3885
Squalidae,Dogfish sharks,Large sharks (>=90 cm),Sharks & rays,43009
Squalus,Dogfishes,Large sharks (>=90 cm),Sharks & rays,296764
Carcharhinus obscurus,Dusky shark,Large sharks (>=90 cm),Sharks & rays,5255
Carcharhinus galapagensis,Galapagos shark,Large sharks (>=90 cm),Sharks & rays,644
Sphyrna mokarran,Great hammerhead,Large sharks (>=90 cm),Sharks & rays,18209
Carcharodon carcharias,Great white shark,Large sharks (>=90 cm),Sharks & rays,118
Carcharhiniformes,Ground sharks,Large sharks (>=90 cm),Sharks & rays,13062
Centrophorus granulosus,Gulper shark,Large sharks (>=90 cm),Sharks & rays,5
Sphyrnidae,"Hammer, bonnet, scoophead sharks",Large sharks (>=90 cm),Sharks & rays,52826
Sphyrna,Hammerhead sharks,Large sharks (>=90 cm),Sharks & rays,112383
Triakidae,Houndsharks,Large sharks (>=90 cm),Sharks & rays,23575
Dalatias licha,Kitefin shark,Large sharks (>=90 cm),Sharks & rays,558
Centrophorus squamosus,Leafscale gulper shark,Large sharks (>=90 cm),Sharks & rays,582
Negaprion brevirostris,Lemon shark,Large sharks (>=90 cm),Sharks & rays,3279
Somniosus rostratus,Little sleeper shark,Large sharks (>=90 cm),Sharks & rays,0
Isurus paucus,Longfin mako,Large sharks (>=90 cm),Sharks & rays,339
Centroscymnus crepidater,Longnose velvet dogfish,Large sharks (>=90 cm),Sharks & rays,1
Lamniformes,Mackerel sharks,Large sharks (>=90 cm),Sharks & rays,6876
Lamnidae,Mackerel/white sharks,Large sharks (>=90 cm),Sharks & rays,16035
Isurus,Mako sharks,Large sharks (>=90 cm),Sharks & rays,139671
Rhizoprionodon acutus,Milk shark,Large sharks (>=90 cm),Sharks & rays,4491
Ginglymostoma cirratum,Nurse shark,Large sharks (>=90 cm),Sharks & rays,26042
Scyliorhinus stellaris,Nursehound,Large sharks (>=90 cm),Sharks & rays,863
Carcharhinus longimanus,Oceanic whitetip shark,Large sharks (>=90 cm),Sharks & rays,54610
Squalus acanthias,Piked dogfish,Large sharks (>=90 cm),Sharks & rays,2053
Lamna nasus,Porbeagle,Large sharks (>=90 cm),Sharks & rays,3946
Centroscymnus coelolepis,Portuguese dogfish,Large sharks (>=90 cm),Sharks & rays,103
Carcharhinidae,Requiem sharks,Large sharks (>=90 cm),Sharks & rays,896678
Carcharias taurus,Sand tiger shark,Large sharks (>=90 cm),Sharks & rays,2193
Carcharhinus plumbeus,Sandbar shark,Large sharks (>=90 cm),Sharks & rays,9060
Pristiophorus,Sawsharks,Large sharks (>=90 cm),Sharks & rays,5754
Sphyrna lewini,Scalloped hammerhead,Large sharks (>=90 cm),Sharks & rays,95110
Chondrichthyes,"Sharks, rays, chimaeras",Large sharks (>=90 cm),Sharks & rays,1292869
Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,5797531
Carcharhinus,Sharp-nosed sharks,Large sharks (>=90 cm),Sharks & rays,1465110
Heptranchias perlo,Sharpnose sevengill shark,Large sharks (>=90 cm),Sharks & rays,99
Triakis megalopterus,Sharptooth houndshark,Large sharks (>=90 cm),Sharks & rays,13
Isurus oxyrinchus,Shortfin mako,Large sharks (>=90 cm),Sharks & rays,66520
Carcharhinus falciformis,Silky shark,Large sharks (>=90 cm),Sharks & rays,511786
Carcharhinus albimarginatus,Silvertip shark,Large sharks (>=90 cm),Sharks & rays,23776
Sphyrna zygaena,Smooth hammerhead,Large sharks (>=90 cm),Sharks & rays,21339
Mustelus mustelus,Smooth-hound,Large sharks (>=90 cm),Sharks & rays,2406
Mustelus,Smoothhounds,Large sharks (>=90 cm),Sharks & rays,198366
Carcharhinus sorrah,Spottail shark,Large sharks (>=90 cm),Sharks & rays,213623
Mustelus asterias,Starry smooth-hound,Large sharks (>=90 cm),Sharks & rays,87
Nebrius ferrugineus,Tawny nurse shark,Large sharks (>=90 cm),Sharks & rays,6
Alopias vulpinus,Thresher,Large sharks (>=90 cm),Sharks & rays,75165
Alopias,Thresher sharks,Large sharks (>=90 cm),Sharks & rays,278507
Galeocerdo cuvier,Tiger shark,Large sharks (>=90 cm),Sharks & rays,56507
Galeorhinus galeus,Tope shark,Large sharks (>=90 cm),Sharks & rays,13678
Rhincodon typus,Whale shark,Large sharks (>=90 cm),Sharks & rays,2880
Raja miraletus,Brown ray,Small to medium rays (<90 cm),Sharks & rays,0
Callorhinchus capensis,Cape elephantfish,Small to medium rays (<90 cm),Sharks & rays,13160
Rhinobatos percellens,Chola guitarfish,Small to medium rays (<90 cm),Sharks & rays,51
Leucoraja naevus,Cuckoo ray,Small to medium rays (<90 cm),Sharks & rays,23912
Atlantoraja cyclophora,Eyespot skate,Small to medium rays (<90 cm),Sharks & rays,0
Hydrolagus,Ghostsharks,Small to medium rays (<90 cm),Sharks & rays,17
Raja asterias,Mediterranean starry ray,Small to medium rays (<90 cm),Sharks & rays,106
Raja microocellata,Small-eyed ray,Small to medium rays (<90 cm),Sharks & rays,239
Gymnura micrura,Smooth butterfly ray,Small to medium rays (<90 cm),Sharks & rays,244
Raja montagui,Spotted ray,Small to medium rays (<90 cm),Sharks & rays,5101
Raja,"Stingrays, skates",Small to medium rays (<90 cm),Sharks & rays,29480
Raja undulata,Undulate ray,Small to medium rays (<90 cm),Sharks & rays,29
Zearaja chilensis,Yellownose skate,Small to medium rays (<90 cm),Sharks & rays,37741
Centroscyllium fabricii,Black dogfish,Small to medium sharks (<90 cm),Sharks & rays,8
Galeus melastomus,Blackmouth catshark,Small to medium sharks (<90 cm),Sharks & rays,535
Mustelus henlei,Brown smoothhound,Small to medium sharks (<90 cm),Sharks & rays,1319
Scyliorhinidae,Cat/swellsharks,Small to medium sharks (<90 cm),Sharks & rays,10921
Scymnodon ringens,Knifetooth dogfish,Small to medium sharks (<90 cm),Sharks & rays,109
Etmopterus,Lanternsharks,Small to medium sharks (<90 cm),Sharks & rays,12
Mustelus schmitti,Narrownose smoothhound,Small to medium sharks (<90 cm),Sharks & rays,191175
Galeus,Sawtail catsharks,Small to medium sharks (<90 cm),Sharks & rays,8
Scyliorhinus canicula,Smallspotted catshark,Small to medium sharks (<90 cm),Sharks & rays,16008
Etmopterus spinax,Velvet belly,Small to medium sharks (<90 cm),Sharks & rays,0
Carcharhinus dussumieri,Whitecheek shark,Small to medium sharks (<90 cm),Sharks & rays,742
Thunnus alalunga,Albacore,Large pelagics (>=90 cm),Tuna & billfishes,1650049
Thunnus thynnus,Atlantic bluefin tuna,Large pelagics (>=90 cm),Tuna & billfishes,82511
Istiophorus albicans,Atlantic sailfish,Large pelagics (>=90 cm),Tuna & billfishes,29191
Kajikia albida,Atlantic white marlin,Large pelagics (>=90 cm),Tuna & billfishes,7399
Thunnus obesus,Bigeye tuna,Large pelagics (>=90 cm),Tuna & billfishes,2818877
Istiophoridae,Billfishes,Large pelagics (>=90 cm),Tuna & billfishes,262245
Istiompax indica,Black marlin,Large pelagics (>=90 cm),Tuna & billfishes,194186
Thunnus atlanticus,Blackfin tuna,Large pelagics (>=90 cm),Tuna & billfishes,71871
Makaira nigricans,Blue marlin,Large pelagics (>=90 cm),Tuna & billfishes,29063
Makaira,Blue marlins,Large pelagics (>=90 cm),Tuna & billfishes,8435
Makaira mazara,Indo-Pacific blue marlin,Large pelagics (>=90 cm),Tuna & billfishes,9306
Istiophorus platypterus,Indo-Pacific sailfish,Large pelagics (>=90 cm),Tuna & billfishes,522230
Euthynnus affinis,Kawakawa,Large pelagics (>=90 cm),Tuna & billfishes,3712389
Euthynnus alletteratus,Little tunny,Large pelagics (>=90 cm),Tuna & billfishes,117557
Tetrapturus pfluegeri,Longbill spearfish,Large pelagics (>=90 cm),Tuna & billfishes,335
Thunnus tonggol,Longtail tuna,Large pelagics (>=90 cm),Tuna & billfishes,1995147
Tetrapturus belone,Mediterranean spearfish,Large pelagics (>=90 cm),Tuna & billfishes,1420
Thunnus orientalis,Pacific bluefin tuna,Large pelagics (>=90 cm),Tuna & billfishes,298106
Orcynopsis unicolor,Plain bonito,Large pelagics (>=90 cm),Tuna & billfishes,1
Istiophorus,Sailfishes,Large pelagics (>=90 cm),Tuna & billfishes,13874
Tetrapturus angustirostris,Shortbill spearfish,Large pelagics (>=90 cm),Tuna & billfishes,2232
Katsuwonus pelamis,Skipjack tuna,Large pelagics (>=90 cm),Tuna & billfishes,25159185
Allothunnus fallai,Slender tuna,Large pelagics (>=90 cm),Tuna & billfishes,0
Thunnus maccoyii,Southern bluefin tuna,Large pelagics (>=90 cm),Tuna & billfishes,180579
Sarda orientalis,Striped bonito,Large pelagics (>=90 cm),Tuna & billfishes,34756
Kajikia audax,Striped marlin,Large pelagics (>=90 cm),Tuna & billfishes,114414
Xiphias gladius,Swordfish,Large pelagics (>=90 cm),Tuna & billfishes,717652
Xiphiidae,Swordfishes,Large pelagics (>=90 cm),Tuna & billfishes,19183
Thunnus,Tunas,Large pelagics (>=90 cm),Tuna & billfishes,173032
Scombroidea,"Tunas, bonitos, billfishes",Large pelagics (>=90 cm),Tuna & billfishes,392620
Thunnus albacares,Yellowfin tuna,Large pelagics (>=90 cm),Tuna & billfishes,16187252
Gymnosarda unicolor,Dogtooth tuna,Large reef assoc. fish (>=90 cm),Tuna & billfishes,14198
Sarda sarda,Atlantic bonito,Medium pelagics (30 - 89 cm),Tuna & billfishes,274328
Euthynnus lineatus,Black skipjack,Medium pelagics (30 - 89 cm),Tuna & billfishes,38109
Auxis,Bullet and frigate tunas,Medium pelagics (30 - 89 cm),Tuna & billfishes,3837046
Auxis rochei,Bullet tuna,Medium pelagics (30 - 89 cm),Tuna & billfishes,170433
Sarda chiliensis,Eastern Pacific bonito,Medium pelagics (30 - 89 cm),Tuna & billfishes,76080
Auxis thazard,Frigate tuna,Medium pelagics (30 - 89 cm),Tuna & billfishes,3428884
