geo_entity_name,fishing_entity_name,eez_name,fao_area_name,declaration_year,started_eez_at,date_allowed_to_fish_other_eezs,date_allowed_to_fish_high_seas,area,shelf_area,ifa,percentage_of_worlds_coral_reefs,percentage_of_worlds_sea_mounts,ppr
"Congo, R. of","Congo, R. of","Congo, R. of","Atlantic, Southeast",1977,1977,1965,1965,8707.767492,0,0,0,0,392.2978403
"Congo, R. of","Congo, R. of","Congo, R. of","Atlantic, Eastern Central",1977,1977,1965,1965,30909.79615,7769.027595,7256.209235,0,0,2392.1534
Congo (ex-Zaire),Congo (ex-Zaire),Congo (ex-Zaire),"Atlantic, Southeast",1992,1977,1950,1950,11620.93459,1367.070481,695.0064613,0,0,1839.201399
Congo (ex-Zaire),Congo (ex-Zaire),Congo (ex-Zaire),"Atlantic, Eastern Central",1992,1977,1950,1950,1518.571682,1324.934481,1324.934481,0,0,448.710876
Costa Rica,Costa Rica,Costa Rica (Pacific),"Pacific, Southeast",1975,1975,1957,1957,157019.3371,0,0,0,0.067,97.45982784
Costa Rica,Costa Rica,Costa Rica (Pacific),"Pacific, Eastern Central",1975,1975,1957,1957,388150.9599,17118.31728,16606.68954,0.175683,0.195,300.6981072
Costa Rica,Costa Rica,Costa Rica (Caribbean),"Atlantic, Western Central",1975,1975,1957,1957,26960.60989,2206.594597,2206.594597,0.01198,0,483.08
Croatia,Croatia,Croatia,Mediterranean and Black Sea,1994,1994,9999,9999,55961.08334,44843.99915,41982.73845,0,0,456.68
Cuba,Cuba,Cuba,"Atlantic, Western Central",1977,1977,1950,1950,364510.995,63995.92304,57196.30068,0.886644,0.101,397.55
Benin,Benin,Benin,"Atlantic, Eastern Central",1976,1976,1965,1965,30285.98058,3248.380993,3248.380993,0,0,745.47
Greenland,Greenland,Greenland (Denmark),"Atlantic, Northeast",1977,1977,1950,1950,1309440.687,90252.56659,52496.7975,0,0.04,249.8159875
Greenland,Greenland,Greenland (Denmark),"Atlantic, Northwest",1977,1977,1950,1950,855040.8726,154060.1388,133962.1841,0,0.007,173.5706736
Greenland,Greenland,Greenland (Denmark),Arctic Sea,1977,1977,1950,1950,113631.6914,15693.87156,92.57548372,0,0,2.640633314
Faeroe Isl. (Denmark),Faeroe Isl. (Denmark),Faeroe Isl. (Denmark),"Atlantic, Northeast",1977,1977,1905,1950,267832.9778,27409.54841,18419.60935,0,0.02,449.02
Denmark,Denmark,Denmark (Baltic Sea),"Atlantic, Northeast",1977,1977,1950,1950,26979,26979.06116,26206.49108,0,0,1481.9
Denmark,Denmark,Denmark (North Sea),"Atlantic, Northeast",1977,1977,1950,1950,75714.48167,74924.21466,15490.02221,0,0,1359.45
Dominica,Dominica,Dominica,"Atlantic, Western Central",1981,1980,9999,9999,28592.69655,355.9197618,355.9197618,0.011466,0.013,349.21
Dominican Republic,Dominican Republic,Dominican Republic,"Atlantic, Western Central",1977,1977,1978,9999,269489.2288,11718.85369,8311.477698,0.150646,0.134,307.78
Galapagos Isl. (Ecuador),Ecuador,Galapagos Isl. (Ecuador),"Pacific, Southeast",1952,1966,1973,1973,835540.6138,8499.991037,7985.140172,0.008849,0.168,476.03
Ecuador,Ecuador,Ecuador (mainland),"Pacific, Southeast",1952,1966,1973,1973,236555.8538,27855.19562,27201.64172,0,0.027,930.98
El Salvador,El Salvador,El Salvador,"Pacific, Eastern Central",1983,1983,9999,1981,93713.22005,17680.65131,13474.79341,0,0,510.72
Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,"Atlantic, Eastern Central",1984,1984,1973,9999,308275.0112,12110.62882,11649.39002,0.028464,0.087,933.11
Estonia,Estonia,Estonia,"Atlantic, Northeast",1977,1977,1950,1950,36511.99856,36511.7901,32244.77749,0,0,2010
Fiji,Fiji,Fiji,"Pacific, Southwest",1981,1980,1974,1974,792.0822825,0,0,0,0,0.209134649
Fiji,Fiji,Fiji,"Pacific, Western Central",1981,1980,1974,1974,1280911.198,43263.56949,43263.56949,3.05259,0.874,263.0273507
Finland,Finland,Finland,"Atlantic, Northeast",2005,1965,1931,1931,81522.18087,81184.71207,68962.87816,0,0,1957.04
Tromelin Isl. (France),France,Tromelin Isl. (France),"Indian Ocean, Western",1978,1978,1950,1950,270477.1379,39.7249186,39.7249186,0.00085,0.047,236.72
Crozet Isl. (France),France,Crozet Isl. (France),"Indian Ocean, Antarctic",1978,1977,1950,1950,411668.9497,7449.499539,0,0,0.034,264.1236279
Crozet Isl. (France),France,Crozet Isl. (France),"Indian Ocean, Western",1978,1977,1950,1950,162870.3652,0,0,0,0,142.5535528
St Paul & Amsterdam Isl. (France),France,St Paul & Amsterdam Isl. (France),"Indian Ocean, Eastern",1978,1977,1950,1950,83002.59775,0,0,0,0,65.79523435
St Paul & Amsterdam Isl. (France),France,St Paul & Amsterdam Isl. (France),"Indian Ocean, Western",1978,1977,1950,1950,426011.748,163.932061,0,0,0.087,340.3980646
Kerguelen Isl. (France),France,Kerguelen Isl. (France),"Indian Ocean, Antarctic",1978,1977,1950,1950,567686.9102,63888.12978,0,0,0.054,380.3
Corsica (France),France,Corsica (France),Mediterranean and Black Sea,1977,1977,1950,1950,23833.28227,4366.9557,4366.9557,0,0,445.49
Glorioso Islands,France,Glorieuse Islands (France),"Indian Ocean, Western",1978,1978,1950,1950,43430.38865,1290.953692,829.75,0.052141,0.027,361.1
Mozambique Channel Isl. (France),France,Mozambique Channel Isl. (France),"Indian Ocean, Western",1978,1977,1950,1950,308798.9811,1800.210207,574.6101044,0.032961,0.074,494.65
St Barthelemy (France),St Barthelemy (France),St Barthelemy (France),"Atlantic, Western Central",1978,1978,1950,1950,4294.622066,1888.291981,1888.292025,0.004379,0,314.57
Clipperton Isl.  (France),France,Clipperton Isl. (France),"Pacific, Eastern Central",1978,1978,1950,1950,431273.1921,27.87400606,27.87400606,0.004615,0.269,289.73
Wallis & Futuna Isl. (France),Wallis & Futuna Isl. (France),Wallis & Futuna Isl. (France),"Pacific, Eastern Central",1978,1978,9999,9999,25409.77078,47.5960477,0,0,0.034,19.76248595
Wallis & Futuna Isl. (France),Wallis & Futuna Isl. (France),Wallis & Futuna Isl. (France),"Pacific, Western Central",1978,1978,9999,9999,232860.4018,2217.419986,483.3088723,0.222135,0.329,175.9322408
Saint Pierre & Miquelon (France),Saint Pierre & Miquelon (France),Saint Pierre & Miquelon (France),"Atlantic, Northwest",1977,1977,1960,1977,12352.84599,7843.610709,5482.033494,0,0,866.72
R̩union (France),R̩union (France),R̩union (France),"Indian Ocean, Western",1978,1978,9999,1950,315071.1541,595.2037306,459.0656842,0.007177,0.108,228.02
New Caledonia (France),New Caledonia (France),New Caledonia (France),"Pacific, Southwest",1978,1978,9999,9999,146508.7174,1191.103506,0,0,0.067,28.04539436
New Caledonia (France),New Caledonia (France),New Caledonia (France),"Pacific, Western Central",1978,1978,9999,9999,1276086.858,51562.85175,36464.06217,2.153572,0.679,265.9912926
Martinique (France),Martinique (France),Martinique (France),"Atlantic, Western Central",1978,1978,1976,9999,47371.50567,1230.202328,1230.202328,0.047037,0,358.9
Guadeloupe  (France),Guadeloupe  (France),Guadeloupe  (France),"Atlantic, Western Central",1978,1978,9999,9999,90570.30707,2149.958033,2149.96,0.051205,0.02,300.07
French Polynesia (France),French Polynesia,French Polynesia,"Pacific, Southwest",1978,1978,1993,1993,693098.8417,401.8637082,151.0308085,0.034261,0.37,22.93822856
French Polynesia (France),French Polynesia,French Polynesia,"Pacific, Eastern Central",1978,1978,1993,1993,4077989.161,27250.93034,26318.28995,1.645184,3.355,189.1858042
French Guiana (France),French Guiana,French Guiana,"Atlantic, Southwest",1977,1977,9999,9999,4304.346801,4283.102809,3879.539181,0,0,94.30912426
French Guiana (France),French Guiana,French Guiana,"Atlantic, Western Central",1977,1977,9999,9999,130351.6225,38792.79507,13488.25101,0,0,1166.665486
France,France,France (Atlantic Coast),"Atlantic, Northeast",1977,1977,1950,1950,245301.8616,142926.0562,80324.14673,0,0.007,885.06
France,France,France (Mediterranean),Mediterranean and Black Sea,1977,1977,1950,1950,64556.17215,13692.6788,12574.80604,0,0,571.63
Mayotte (France),Mayotte (France),Mayotte (France),"Indian Ocean, Western",1978,1978,9999,9999,62982.43568,2179.172075,1604.089062,0.160122,0.02,470.14
Djibouti,Djibouti,Djibouti,"Indian Ocean, Western",1979,1979,9999,9999,7037.017033,2236.795679,2236.795679,0.093851,0,1472.76
Gabon,Gabon,Gabon,"Atlantic, Southeast",1984,1984,1971,1971,1679.189255,0,0,0,0,12.84361169
Gabon,Gabon,Gabon,"Atlantic, Eastern Central",1984,1984,1971,1971,190264.5871,36572.18056,33209.89436,0,0,1634.732589
Georgia,Georgia,Georgia,Mediterranean and Black Sea,1977,1977,1950,1950,22947.37029,2529.026071,2529.026071,0,0,1026.8
Gambia,Gambia,Gambia,"Atlantic, Eastern Central",1977,1977,1950,1950,22650.41114,5808.016639,4106.534137,0,0,1367.93
Gaza Strip,Gaza Strip,Gaza Strip,Mediterranean and Black Sea,2010,9999,9999,9999,2590.728836,1016.48389,1016.333398,0,0,376.01
Germany,Germany,Germany (North Sea),"Atlantic, Northeast",1977,1977,1929,1929,40998.8211,40999.81553,18454.24771,0,0,1435.15
Germany,Germany,Germany (Baltic Sea),"Atlantic, Northeast",1978,1977,1929,1929,15464.69393,15464.33953,15312.86126,0,0,1655.61
Ghana,Ghana,Ghana,"Atlantic, Eastern Central",1977,1977,1950,1950,225660.8173,23820.60367,20613.01318,0.055792,0.007,686.45
Kiribati,Kiribati,Kiribati (Line Islands),"Pacific, Eastern Central",1979,1978,9999,1970,1645373.323,1211.523016,868.1057518,0.138469,1.331,313.43
Kiribati,Kiribati,Kiribati (Gilbert Islands),"Pacific, Western Central",1979,1978,9999,1970,1048696.892,5222.444685,5187.104379,0.79623,0.524,392.98
Kiribati,Kiribati,Kiribati (Phoenix Islands),"Pacific, Eastern Central",1979,1978,9999,1970,579487.1103,636.5255542,157.7912286,0.159146,0.35,232.1731251
Kiribati,Kiribati,Kiribati (Phoenix Islands),"Pacific, Western Central",1979,1978,9999,1970,163575.2382,6.799264506,0,0.0061,0.04,57.09903801
Crete (Greece),Greece,Crete (Greece),Mediterranean and Black Sea,1995,9999,1950,1950,96568.09254,3978.378864,3930.088159,0,0.02,325.09
Greece,Greece,Greece (without Crete),Mediterranean and Black Sea,1995,9999,1950,1950,397140,68519.45686,68519.45686,0,0.114,380.71
Grenada,Grenada,Grenada,"Atlantic, Western Central",1978,1978,1997,1997,26133.08653,2708.906794,1902.270523,0.03432,0,938.11
Guatemala,Guatemala,Guatemala (Pacific),"Pacific, Eastern Central",1976,1976,1999,1999,116076.1363,13920.67847,12381.18788,0,0,552.85
Guatemala,Guatemala,Guatemala (Caribbean),"Atlantic, Western Central",1976,1976,1999,1999,1600.066351,1481.363375,1481.363422,0,0,603.71
Guinea,Guinea,Guinea,"Atlantic, Eastern Central",1980,1980,1976,1976,109438.6867,49698.7483,17555.55646,0,0.034,965.3
Guyana,Guyana,Guyana,"Atlantic, Western Central",1977,1977,1978,9999,140369,50506.20287,22689.59016,0,0.007,833.33
Haiti,Haiti,Haiti,"Atlantic, Western Central",1977,1977,9999,9999,123525.2937,5672.320426,5672.320426,0.123473,0.013,314.12
Honduras,Honduras,Honduras (Caribbean),"Atlantic, Western Central",1980,1980,1950,1950,218057.1863,60303.29364,36945.20239,0.278149,0.155,377.11
Honduras,Honduras,Honduras (Pacific),"Pacific, Eastern Central",1980,1980,1950,1950,746.6278015,746.6278355,746.6277892,0,0,934.15
Iceland,Iceland,Iceland,"Atlantic, Northeast",1979,1974,1950,1950,756112,113352.1953,86350.31836,0,0.007,488.28
Indonesia,Indonesia,Indonesia (Eastern),"Pacific, Western Central",1980,1980,1950,1960,3014499.151,734484.9091,493747.1705,9.145787,1.096,565.6991988
Indonesia,Indonesia,Indonesia (Eastern),"Indian Ocean, Eastern",1980,1980,1950,1960,583667.9775,60208.04575,33230.27953,1.586116,0.061,92.95429753
Indonesia,Indonesia,Indonesia (Central),"Pacific, Western Central",1977,1980,1950,1960,1015421.028,1006984.828,523373.98,2.310726,0,909.5369322
Indonesia,Indonesia,Indonesia (Central),"Indian Ocean, Eastern",1977,1980,1950,1960,662.11,0,0.896958292,0.06,0,0.565086802
Indonesia,Indonesia,Indonesia (Indian Ocean),"Pacific, Western Central",1977,1980,1950,1960,16978.38782,16969.72511,16969.72511,0.000652,0,19.89753494
Indonesia,Indonesia,Indonesia (Indian Ocean),"Indian Ocean, Eastern",1977,1980,1950,1960,1393221.544,156769.7807,148144.3104,1.267964,0.141,522.2259336
Iran,Iran,Iran (Sea of Oman),"Indian Ocean, Western",1973,1973,1989,1970,65849.97002,17454.79319,17392.68626,0.026987,0,1428.89
Iran,Iran,Iran (Persian Gulf),"Indian Ocean, Western",1973,1973,1989,1970,97860.23156,97863.43201,67933.29636,0.139143,0,1301.1
Iraq,Iraq,Iraq,"Indian Ocean, Western",1985,9999,1950,1950,540.2412097,540.89457,531.1012151,0,0,1991.08
Ireland,Ireland,Ireland,"Atlantic, Northeast",1977,1977,1950,1950,409928.8655,141603.5516,72258.48824,0,0.013,661.36
Israel,Israel,Israel (Mediterranean),Mediterranean and Black Sea,2010,9999,1950,1950,25139.2212,2919.333335,2919.333335,0,0,342.17
Israel,Israel,Israel (Red Sea),"Indian Ocean, Western",2010,9999,1950,1950,30.89183418,14.16256724,13.68003714,0.000555,0,364.03
Sardinia (Italy),Italy,Sardinia (Italy),Mediterranean and Black Sea,1995,2006,1950,1950,117400.2163,14802.05775,14802.05775,0,0.047,411.8
Sicily (Italy),Italy,Sicily (Italy),Mediterranean and Black Sea,1995,2006,1950,1950,104873.2154,21721.12177,17877.00958,0,0.061,401.45
Italy,Italy,Italy (mainland),Mediterranean and Black Sea,1995,2006,1950,1950,315943.413,76963.97998,71999.93297,0,0.134,460.38
C̫te d'Ivoire,C̫te d'Ivoire,C̫te d'Ivoire,"Atlantic, Eastern Central",1977,1977,1960,1960,173763.7002,12270.10679,12269.9444,0.008824,0.007,754.76
Jamaica,Jamaica,Jamaica,"Atlantic, Western Central",1991,1991,1981,9999,263284,13873.67832,13422.1547,0.32839,0.155,322.29
Ogasawara Islands (Japan),Japan,Japan (Ogasawara Islands),"Pacific, Northwest",1977,1977,1950,1950,1082529,2547.102771,2508.051981,0.005991,1.15,226.91
Japan,Japan,Japan (main islands),"Pacific, Northwest",1977,1977,1950,1950,2589887.758,416752.2994,284112.4755,0.8797,1.271,503.14
Japan,Japan,Japan (Daito Islands),"Pacific, Western Central",1977,1977,1950,1950,180339.8454,0,0,0,0.114,47.32484333
Japan,Japan,Japan (Daito Islands),"Pacific, Northwest",1977,1977,1950,1950,612014.8971,76,75.98526913,0.004847,0.908,175.3348269
Jordan,Jordan,Jordan,"Indian Ocean, Western",1995,9999,9999,9999,96.6206755,27.59731251,27.59731251,0.001716,0,341.76
Kenya,Kenya,Kenya,"Indian Ocean, Western",1979,1979,9999,1970,162794.1044,8436.76765,8282.212915,0.175751,0,564.58
Korea (North),Korea (North),Korea (North),"Pacific, Northwest",1977,1977,1959,9999,115543.7175,35859.51165,32577.55371,0,0.007,807.68
Korea (South),Korea (South),Korea (South),"Pacific, Northwest",1996,1996,1950,1950,473279.7223,290401.0693,109580.99,0,0.007,936.51
Kuwait,Kuwait,Kuwait,"Indian Ocean, Western",1967,9999,9999,1970,11786.02609,11786.30444,9657.52641,0.0255,0,1734.62
Lebanon,Lebanon,Lebanon,Mediterranean and Black Sea,1995,9999,9999,1970,19264.97023,1396.899809,1396.899809,0,0,335.42
Latvia,Latvia,Latvia,"Atlantic, Northeast",1977,1977,1950,1950,28985.53032,28362.09053,18900.40254,0,0,1961.13
Liberia,Liberia,Liberia,"Atlantic, Eastern Central",1977,1982,1977,1977,246093.4072,18547.46464,18528.80413,0.073444,0.04,585.67
Libya,Libya,Libya,Mediterranean and Black Sea,2009,1977,1971,1971,355604.4919,67112.99267,53241.71833,0,0.034,330.01
Lithuania,Lithuania,Lithuania,"Atlantic, Northeast",1977,1977,1950,1950,6138.723175,6139.565403,3961.588274,0,0,1930.57
Madagascar,Madagascar,Madagascar,"Indian Ocean, Western",1985,1973,9999,9999,1200329.973,121864.9766,113090.8027,0.628812,0.141,490.9
Malaysia,Malaysia,Malaysia (Sabah),"Pacific, Western Central",1980,1980,1950,1982,91653.05043,54204.52166,49482.74015,0.933589,0,718.11
Malaysia,Malaysia,Malaysia (Peninsula East),"Pacific, Western Central",1980,1980,1950,1982,133402.3611,133345.8345,48581.33465,0.112533,0,659.91
Malaysia,Malaysia,Malaysia (Sarawak),"Pacific, Western Central",1980,1980,1950,1982,155875.6979,135904.1206,37183.17676,0.009393,0,802.41
Malaysia,Malaysia,Malaysia (Peninsula West),"Pacific, Western Central",1980,1980,1950,1982,6982.21597,6982.234852,6982.234852,0.00415,0,208.0417751
Malaysia,Malaysia,Malaysia (Peninsula West),"Indian Ocean, Eastern",1980,1980,1950,1982,61563.33573,61565.09917,32741.7045,0.002522,0,1146.382804
Maldives,Maldives,Maldives,"Indian Ocean, Eastern",1976,1976,9999,9999,1340.942794,0,0,0,0,0.621262004
Maldives,Maldives,Maldives,"Indian Ocean, Western",1976,1976,9999,9999,914669.8681,31488.00153,31487.79568,2.797315,0.114,382.3794164
Malta,Malta,Malta,Mediterranean and Black Sea,1978,1978,1994,1994,55541.66112,8035.607876,4992.712876,0,0.013,365.63
Mauritania,Mauritania,Mauritania,"Atlantic, Eastern Central",1978,1978,1971,1971,204596.1231,36256.01337,30595.62187,0,0,2453.7
Mauritius,Mauritius,Mauritius,"Indian Ocean, Western",1977,1977,9999,9999,1272764.637,39992.29213,10094.42706,0.299658,0.598,239.37
Mexico,Mexico,Mexico (Pacific),"Pacific, Eastern Central",1976,1976,1950,1950,2444238.104,183245.9271,170969.5,0.115753,1.251,559.84
Mexico,Mexico,Mexico (Atlantic),"Atlantic, Western Central",1976,1976,1950,1950,829311.1844,235489.5865,142490.69,0.616647,0.061,396.97
Morocco,Morocco,Morocco (Central),Mediterranean and Black Sea,1981,1980,1972,9999,193.85,0,0.00103957,0,0,0.584518422
Morocco,Morocco,Morocco (Central),"Atlantic, Eastern Central",1981,1980,1972,9999,257630.1318,55897.75485,50788.55224,0,0.013,591.7847203
Morocco,Morocco,Morocco (South),"Atlantic, Eastern Central",1981,1980,1972,9999,300942.0875,63849.01824,43380.77959,0,0.007,1405.05
Morocco,Morocco,Morocco (Mediterranean),Mediterranean and Black Sea,1981,1980,1972,9999,18301.55128,4933.146396,4553.98677,0,0,652.23
Mozambique,Mozambique,Mozambique,"Indian Ocean, Western",1976,1976,1984,1984,571451.8385,85276.09317,68599.14782,0.508656,0.013,617.56
Oman,Oman,Oman,"Indian Ocean, Western",1981,1980,9999,9999,529559.4189,47853.8212,43783.14291,0.119854,0.094,1327.04
Oman,Oman,Oman (Musandam),"Indian Ocean, Western",1981,1980,9999,9999,6678.435933,6678.246268,6678.246268,0.021315,0,1460.51
Namibia,Namibia,Namibia,"Atlantic, Southeast",1977,1990,1987,1987,560100.9084,94930.27428,66241.39332,0,0.027,1541.85
Nauru,Nauru,Nauru,"Pacific, Western Central",1978,1978,1987,1987,308505.6325,13.42019411,13.42019411,0.008636,0.054,421.54
Bonaire (Netherlands),Bonaire (Netherlands),Bonaire (Netherlands),"Atlantic, Western Central",1993,1993,1950,1950,13217.78806,268.4850638,268.4850638,0.053311,0,433.14
Sint Maarten (Netherlands),Sint Maarten,Sint Maarten (Netherlands),"Atlantic, Western Central",1993,1993,1950,1950,499.2051465,152.7716052,152.7706687,0.008743,0,336.67
Saba and Saint Eustaius (Netherlands),Saba and Saint Eustaius (Netherlands),Saba and Sint Eustaius (Netherlands),"Atlantic, Western Central",1993,1993,1950,1950,11648.33495,169.4654381,169.4654379,0.012932,0.007,372.15
Aruba (Netherlands),Aruba (Netherlands),Aruba (Netherlands),"Atlantic, Western Central",1993,1977,9999,9999,25198.87151,1503.263531,1503.263531,0.007249,0,423.65
Netherlands,Netherlands,Netherlands,"Atlantic, Northeast",1977,1977,1950,1950,61868.94966,61856.09438,21628.83231,0,0,1502.9
Vanuatu,Vanuatu,Vanuatu,"Pacific, Southwest",1982,1978,1980,1980,24184.05652,0,0,0,0,9.569874542
Vanuatu,Vanuatu,Vanuatu,"Pacific, Western Central",1982,1978,1980,1980,803442.1026,8681.038074,8233.478761,0.778556,0.316,284.7197756
Kermadec Isl. (New Zealand),New Zealand,Kermadec Isl. (New Zealand),"Pacific, Southwest",1978,1978,1950,1950,621764.2033,347.7804887,347.7804887,0,0.363,281.69
Tokelau (New Zealand),Tokelau (New Zealand),Tokelau (New Zealand),"Pacific, Eastern Central",1980,1977,1983,1983,295083.1427,279.0352704,279.0352704,0.078745,0.255,208.3300193
Tokelau (New Zealand),Tokelau (New Zealand),Tokelau (New Zealand),"Pacific, Western Central",1980,1977,1983,1983,23965.82636,0,0,0,0,16.13801841
Niue (New Zealand),Niue (New Zealand),Niue (New Zealand),"Pacific, Eastern Central",1978,1978,9999,1970,316584.3872,283.8240246,70.02769651,0.048505,0.108,159
New Zealand,New Zealand,New Zealand,"Pacific, Southwest",1978,1978,1950,1950,3479751.837,272270.7826,196576.7296,0,0.766,492.99
Cook Islands,Cook Islands,Cook Islands,"Pacific, Southwest",1977,1977,1987,1987,5880.392396,0,0,0,0,0.497456374
Cook Islands,Cook Islands,Cook Islands,"Pacific, Eastern Central",1977,1977,1987,1987,1954146.486,1213.244606,1213.244605,0.367551,0.894,197.6552185
Nicaragua,Nicaragua,Nicaragua (Pacific),"Pacific, Eastern Central",1965,1965,9999,1950,61512.90691,21921.95136,15570.73508,0.001264,0.007,636.83
Nicaragua,Nicaragua,Nicaragua (Caribbean),"Atlantic, Western Central",1965,1965,9999,1950,161240.83,61293.27997,38189.3942,0.255161,0.027,334.87
Nigeria,Nigeria,Nigeria,"Atlantic, Eastern Central",1978,1978,1977,1977,216324.8112,43513.97918,36472.44521,0,0,834.69
Jan Mayen Isl. (Norway),Norway,Jan Mayen Isl. (Norway),"Atlantic, Northeast",1980,1977,1950,1950,292189.1894,1580.062263,1519.603846,0,0.134,575.1
Svalbard Isl. (Norway),Norway,Svalbard Isl. (Norway),"Atlantic, Northeast",1977,1977,1950,1950,804906.5304,255221.7628,110202.4341,0,0.04,426.67
Bouvet Isl. (Norway),Norway,Bouvet Isl. (Norway),"Atlantic, Antarctic",1977,1977,1950,1950,441173.6167,212.6928734,0,0,0.343,273.03
Norway,Norway,Norway,"Atlantic, Northeast",1977,1977,1950,1950,935397.1144,211376.5638,112711.61,0,0,598.09
Micronesia,Micronesia,Micronesia (Federated States of),"Pacific, Western Central",1988,1988,1987,1987,2992414.636,26075.62745,16586.99017,1.542716,2.165,242.44
Marshall Isl.,Marshall Isl.,Marshall Isl.,"Pacific, Western Central",1984,1984,1996,1996,1992022.415,20890.80943,20560.90674,2.442429,1.647,224.63
Palau,Palau,Palau,"Pacific, Western Central",1978,1985,9999,1970,604252.9842,3467.228059,2989.511132,0.362216,0.867,250.85
Pakistan,Pakistan,Pakistan,"Indian Ocean, Western",1976,1976,9999,1970,222255.2572,50210.0254,33476.21307,0,0.034,1563.01
Panama,Panama,Panama (Pacific),"Pacific, Eastern Central",1967,1967,1950,1950,188619.3593,40712.2534,40712.2534,0.04523,0.094,719.16
Panama,Panama,Panama (Caribbean),"Atlantic, Western Central",1967,1967,1950,1950,142164.2976,11464.17618,11326.80617,0.169599,0,514.69
Papua New Guinea,Papua New Guinea,Papua New Guinea,"Pacific, Western Central",1978,1978,9999,9999,2396575.334,186818.6142,146250.29,4.740871,1.163,364.49
Peru,Peru,Peru,"Pacific, Southeast",1950,1947,1960,1960,856954.6784,88554.63281,71056.96583,0,0.094,1014.1
Philippines,Philippines,Philippines,"Pacific, Western Central",1979,1979,1950,1950,2162501.457,270747.6223,249167.5242,9.472467,0.316,331.2315277
Philippines,Philippines,Philippines,"Pacific, Northwest",1979,1979,1950,1950,101314.9898,680.1625339,583.0681078,0.002588,0.134,11.09900827
Poland,Poland,Poland,"Atlantic, Northeast",1977,1977,1929,1929,32057.94028,32054.04125,20243.0278,0,0,1701.43
Madeira Isl. (Portugal),Madeira Isl. (Portugal),Madeira Isl. (Portugal),"Atlantic, Eastern Central",1977,1977,1950,1950,439161.2701,1137.309319,1032.739733,0,0.114,300.598995
Madeira Isl. (Portugal),Madeira Isl. (Portugal),Madeira Isl. (Portugal),"Atlantic, Northeast",1977,1977,1950,1950,15297.65548,0,0,0,0.013,10.46662906
Azores Isl. (Portugal),Azores Isl. (Portugal),Azores Isl. (Portugal),"Atlantic, Eastern Central",1977,1977,1950,1950,162232.4021,0,0,0,0.027,54.68387794
Azores Isl. (Portugal),Azores Isl. (Portugal),Azores Isl. (Portugal),"Atlantic, Northeast",1977,1977,1950,1950,793411.2599,2165.836118,2071.161102,0,0.363,341.6676621
Portugal,Portugal,Portugal (mainland),"Atlantic, Eastern Central",1977,1977,1950,1950,45204.2693,0,0,0,0.013,50.5394541
